epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.401,1.86738,2.52,1.8011,0.39097,0.35322,0.29162,0.10979,2.21765,3.16614,2.34521,0.000475124,0.000475124,0.000475124
2,692.092,2.02521,2.35307,1.86414,0.55131,0.35246,0.37992,0.16436,2.22474,3.30387,2.12234,0.00092006,0.00092006,0.00092006
3,1029.47,1.96426,2.21666,1.81599,0.54726,0.45159,0.48892,0.21404,2.16179,2.82376,2.07364,0.00133356,0.00133356,0.00133356
4,1367.69,1.90485,2.07131,1.76341,0.67458,0.55381,0.5968,0.28725,2.02446,1.99849,1.9601,0.00128753,0.00128753,0.00128753
5,1707.04,1.81486,1.85883,1.69371,0.7238,0.56625,0.6168,0.31537,1.90604,1.8167,1.8388,0.00124037,0.00124037,0.00124037
6,2047.53,1.73291,1.74241,1.64515,0.76547,0.59103,0.66518,0.32743,1.89513,1.76184,1.83632,0.00119322,0.00119322,0.00119322
7,2389.62,1.67554,1.60807,1.59048,0.82225,0.63828,0.72078,0.38427,1.75584,1.53395,1.74175,0.00114606,0.00114606,0.00114606
8,2731.01,1.63764,1.53736,1.57172,0.84084,0.70301,0.77691,0.42164,1.72309,1.34563,1.71942,0.0010989,0.0010989,0.0010989
9,3069.75,1.60199,1.45809,1.54469,0.85004,0.71541,0.78478,0.4504,1.65208,1.30143,1.64484,0.00105174,0.00105174,0.00105174
10,3407.05,1.58128,1.37222,1.52026,0.86071,0.75376,0.82265,0.47148,1.63443,1.18848,1.63972,0.00100459,0.00100459,0.00100459
11,3752.01,1.55138,1.33615,1.50448,0.83786,0.74482,0.79132,0.45141,1.65876,1.20487,1.64798,0.00095743,0.00095743,0.00095743
12,4089.31,1.52302,1.27877,1.48231,0.84674,0.7411,0.79583,0.44979,1.63355,1.25586,1.64029,0.000910273,0.000910273,0.000910273
13,4428.13,1.50641,1.2306,1.46605,0.86585,0.72873,0.81292,0.47103,1.61792,1.17857,1.62451,0.000863116,0.000863116,0.000863116
14,4767.37,1.47802,1.18433,1.44629,0.84328,0.77972,0.82925,0.48546,1.58352,1.11846,1.59836,0.000815959,0.000815959,0.000815959
15,5110.37,1.45891,1.15225,1.44029,0.89409,0.75922,0.84397,0.48096,1.62387,1.10733,1.60007,0.000768802,0.000768802,0.000768802
16,5447.27,1.44486,1.1195,1.43179,0.8957,0.79969,0.86152,0.521,1.53406,1.00456,1.54519,0.000721645,0.000721645,0.000721645
17,5788.28,1.41917,1.05634,1.41015,0.9024,0.80777,0.86909,0.51962,1.53793,0.97104,1.55193,0.000674488,0.000674488,0.000674488
18,6125.18,1.39363,1.03136,1.40047,0.8454,0.8157,0.86206,0.53037,1.49918,0.94181,1.52461,0.000627331,0.000627331,0.000627331
19,6470.78,1.39497,1.01232,1.39183,0.90253,0.83244,0.87819,0.53365,1.5286,0.9665,1.53348,0.000580174,0.000580174,0.000580174
20,6814.64,1.36624,0.98563,1.38584,0.92009,0.79686,0.88429,0.54142,1.4872,0.92322,1.52505,0.000533017,0.000533017,0.000533017
21,7152.55,1.40581,0.87964,1.42894,0.92109,0.83661,0.88773,0.55456,1.463,0.88155,1.49013,0.00048586,0.00048586,0.00048586
22,7486.81,1.37205,0.83547,1.39796,0.91349,0.83951,0.88651,0.56402,1.44776,0.85996,1.46843,0.000438703,0.000438703,0.000438703
23,7825.78,1.34851,0.81254,1.38951,0.9247,0.84457,0.89556,0.56562,1.45375,0.84246,1.48014,0.000391546,0.000391546,0.000391546
24,8163.73,1.31183,0.77123,1.34595,0.92382,0.84827,0.90114,0.57308,1.43117,0.8144,1.46289,0.000344389,0.000344389,0.000344389
25,8502.12,1.29816,0.74051,1.34937,0.92725,0.84633,0.89817,0.57276,1.44184,0.80773,1.47211,0.000297232,0.000297232,0.000297232
26,8836.41,1.26999,0.71112,1.32358,0.91735,0.86844,0.91192,0.58853,1.40268,0.77554,1.43458,0.000250075,0.000250075,0.000250075
27,9170.68,1.25088,0.67476,1.30838,0.93061,0.8599,0.9079,0.59645,1.38818,0.76044,1.43384,0.000202918,0.000202918,0.000202918
28,9509.68,1.22972,0.66018,1.30009,0.93517,0.8602,0.90799,0.60057,1.37886,0.74891,1.43834,0.000155761,0.000155761,0.000155761
29,9846.35,1.21163,0.64183,1.29054,0.91315,0.88096,0.91323,0.60329,1.375,0.7339,1.42152,0.000108604,0.000108604,0.000108604
30,10182.7,1.18118,0.61935,1.27183,0.93862,0.86687,0.91235,0.60437,1.36098,0.72622,1.42129,6.1447e-05,6.1447e-05,6.1447e-05
